Enhancer_ID	chr	start	end	center	FANTOM5	associated_gene-FANTOM5	associated_gene-50Kb	associated_gene-4DGenome	Cell/Tissue	Detection_method	PMID	closest_gene	distance
134	chr4	129722616	129725512	129723974	N	NA	PHF17	PHF17,LARP1B,PGRMC2	MCF7,IMR90	ChIA-PET,Hi-C	22265404,24141950	PHF17	5267
135	chr4	131687128	131700169	131688674	N	NA	NA	NA	NA	NA	NA	SCLT1	1672364
136	chr4	135605303	135609308	135606333	N	NA	NA	NA	NA	NA	NA	PABPC4L	482400
137	chr4	140078206	140080026	140079099	N	NA	ELF2	CCRN4L,ELF2,NAA15,NDUFC1,C4orf49	IMR90	Hi-C	24141950	ELF2	17600
138	chr4	152243697	152246370	152245745	N	NA	NA	FAM160A1	IMR90	Hi-C	24141950	FAM160A1	84028
139	chr4	17003882	17011695	17004633	N	NA	NA	LDB2	IMR90	Hi-C	24141950	LDB2	103458
140	chr4	180087711	180089568	180088161	N	NA	NA	NA	NA	NA	NA	AGA	1724054
141	chr4	190106368	190108276	190107362	Y	NA	NA	NA	NA	NA	NA	HSP90AA4P	286023
142	chr4	26030970	26033323	26031967	Y	NA	NA	RBPJ,TBC1D19,STIM2	IMR90	Hi-C	24141950	C4orf52	115156
143	chr4	30150800	30153054	30151584	N	NA	NA	NA	NA	NA	NA	STIM2	3288487
144	chr4	56145532	56151089	56146706	N	NA	NA	NA	NA	NA	NA	SRD5A3	61299
145	chr4	69269775	69278188	69270260,69272485	Y,N	NA;NA	NA	NA	NA	NA	NA	YTHDC1	53951
146	chr4	88836690	88847186	88839148,88841169,88843183	N,N,N	NA;NA;NA	HSP90AB3P,SPP1	MEPE,SPP1,HERC6	IMR90	Hi-C	24141950	HSP90AB3P	23695
147	chr4	88849024	88867445	88853418,88858627	N,N	NA;NA	HSP90AB3P,SPP1	NA	NA	NA	NA	SPP1	29357
148	chr4	90601285	90606659	90602576	N	NA	NA	MMRN1	IMR90	Hi-C	24141950	TIGD2	567317
149	chr4	92548317	92557039	92555247,92550129	N,N	NA;NA	NA	NA	NA	NA	NA	GRID2	668511
150	chr4	93192612	93200341	93193279,93198493	N,N	NA;NA	GRID2	NA	NA	NA	NA	GRID2	25209
151	chr5	106310981	106314439	106314143	N	NA	NA	NA	NA	NA	NA	FER	1769084
152	chr5	106317774	106331015	106319045	N	NA	NA	NA	NA	NA	NA	FER	1752508
153	chr5	116107855	116110113	116109637	N	NA	NA	NA	NA	NA	NA	SEMA6A	197304
154	chr5	116112228	116115373	116113773	N	NA	NA	NA	NA	NA	NA	SEMA6A	201677
155	chr5	12322460	12325717	12324044	N	NA	NA	NA	NA	NA	NA	DAP	1561073
156	chr5	133846503	133848565	133847520	N	NA	PHF15	PHF15,PPP2CA,CDKL3,CDKN2AIPNL,SAR1B,UBE2B,SKP1	IMR90,MCF7,K562	Hi-C,ChIA-PET	24141950,22265404	PHF15	13233
157	chr5	141194945	141197320	141196678	N	NA	NA	PCDH1,LOC729080,PCDH12	IMR90	Hi-C	24141950	PCDH1	60624
158	chr5	159560122	159561217	159560769	N	NA	PWWP2A	PWWP2A,FABP6	IMR90	Hi-C	24141950	PWWP2A	13670
159	chr5	170184403	170191979	170188872	N	NA	NA	NA	NA	NA	NA	RANBP17	96917
160	chr5	173096149	173099088	173096984	N	NA	NA	CPEB4,C5orf47,HMP19	IMR90	Hi-C	24141950	BOD1	52483
161	chr5	180523772	180524882	180524313	N	NA	NA	NA	NA	NA	NA	TRIM41	125381
162	chr5	180707931	180709056	180708372,180708378	N,N	NA;NA	GNB2L1,TRIM52,LOC100132062	TRIM52	K562	ChIA-PET	22265404	TRIM52	19812
163	chr5	18669175	18672396	18669375	N	NA	NA	NA	NA	NA	NA	BASP1	1451425
164	chr5	25399629	25406999	25406357	N	NA	NA	NA	NA	NA	NA	LOC643401	2065400
165	chr5	34411049	34413821	34411865	N	NA	NA	C1QTNF3-AMACR,AMACR	IMR90	Hi-C	24141950	RAI14	242612
166	chr5	34474730	34477344	34475987	N	NA	NA	AMACR,C1QTNF3-AMACR,TTC23L,RAI14,BRIX1,RAD1	IMR90,MCF7	Hi-C,ChIA-PET	24141950,22265404	RAI14	179089
167	chr5	74177674	74180261	74178764	N	NA	FAM169A	NA	NA	NA	NA	FAM169A	15059
168	chr6	114743849	114750895	114744138,114749179	N,N	NA;NA	NA	NA	NA	NA	NA	HS3ST5	359808
169	chr6	121938640	121946394	121941202	N	NA	NA	NA	NA	NA	NA	GJA1	181895
170	chr6	131648147	131675588	131649730,131664771,131659957	N,N,N	NA;NA;NA	NA	EPB41L2,AKAP7	IMR90	Hi-C	24141950	AKAP7	191321
171	chr6	14277210	14286430	14286143	N	NA	NA	JARID2,DTNBP1	IMR90	Hi-C	24141950	CCDC90A	462418
172	chr6	142967243	142974189	142969154	N	NA	NA	LOC153910,ADAT2,AIG1,LOC100507489	IMR90	Hi-C	24141950	HIVEP2	292149
173	chr6	14301369	14304764	14302852	N	NA	NA	JARID2	IMR90	Hi-C	24141950	CCDC90A	486577
174	chr6	15019777	15023706	15022304	Y	JARID2	NA	JARID2	IMR90	Hi-C	24141950	JARID2	222821
175	chr6	18754703	18758791	18755214	N	NA	NA	NA	NA	NA	NA	RNF144B	367122
176	chr6	24979541	24982948	24981388	Y	NA	NA	FAM65B	IMR90	Hi-C	24141950	FAM65B	68346
177	chr6	27514756	27515563	27515172	N	NA	NA	HIST1H2AM,HIST1H3J,HIST1H2BO,HIST1H2BL,HIST1H3H,HIST1H2AI,ZNF391,ZNF184	K562,IMR90	ChIA-PET,Hi-C	22265404,24141950	ZNF184	73859
178	chr6	3230992	3234269	3232162	N	NA	TUBB2B,PSMG4	NA	NA	NA	NA	TUBB2B	3024
179	chr6	37101401	37108285	37105736	N	NA	PIM1	PIM1,CPNE5,TMEM217,PPIL1,MIR3925,C6orf89,FGD2,TBC1D22B,MTCH1	IMR90,MCF7	Hi-C,ChIA-PET	24141950,22265404	PIM1	29637
180	chr6	37108937	37111098	37109475	Y	PI16	PIM1	PIM1,C6orf89,FGD2,PPIL1,CPNE5,MTCH1,TBC1D22B,TMEM217	IMR90	Hi-C	24141950	PIM1	26824
181	chr6	68748951	68749971	68749764	N	NA	NA	NA	NA	NA	NA	LMBRD1	1757078
182	chr6	77271334	77272156	77272041	N	NA	NA	NA	NA	NA	NA	MYO6	812425
183	chr6	91381242	91383403	91382457	N	NA	NA	NA	NA	NA	NA	MAP3K7	84335
184	chr6	95253526	95269881	95264048,95269550	N,N	NA;NA	NA	NA	NA	NA	NA	MANEA	755492
185	chr6	98224442	98237601	98226933,98232554	N,N	NA;NA	NA	NA	NA	NA	NA	NDUFAF4	878675
186	chr7	100433263	100436227	100434755	N	NA	EPHB4,SLC12A9,TRIP6,SRRT	AGFG2,MOSPD3,PCOLCE,FBXO24,LOC100129845,POP7,EPO,GIGYF1,EPHB4,ZAN,SRRT,SLC12A9,TRIP6,SERPINE1	IMR90,K562,MCF7	Hi-C,ChIA-PET	24141950,22265404	EPHB4	8120
187	chr7	109233798	109239234	109237359	N	NA	NA	NA	NA	NA	NA	DNAJB9	1023609
188	chr7	131287317	131292271	131289736,131291396	Y,N	PODXL;NA	PODXL	PODXL	IMR90,MCF7	Hi-C,ChIA-PET	24141950,22265404	PODXL	45941
189	chr7	137926210	137929915	137928428	Y	AKR1D1,TRIM24	NA	NA	NA	NA	NA	TRIM24	215164
190	chr7	147440	150153	149477	N	NA	NA	FAM20C	IMR90	Hi-C	24141950	PDGFA	409328
191	chr7	157102348	157105054	157103254	Y	NA	DNAJB6	UBE3C,DNAJB6	IMR90	Hi-C	24141950	DNAJB6	24657
192	chr7	22741082	22750375	22743053	Y	NA	NA	FAM126A,LOC100506178,IL6,SNORD93	IMR90	Hi-C	24141950	TOMM7	112046
193	chr7	24434194	24453565	24436013,24440964	N,N	NA;NA	NA	NA	NA	NA	NA	MPP6	159520
194	chr7	51393703	51399168	51395164	Y	NA	COBL	COBL	MCF7	ChIA-PET	22265404	COBL	9188
195	chr7	65956836	65959734	65958663	N	NA	NA	LINC00174,TPST1	IMR90	Hi-C	24141950	LOC493754	83764
196	chr7	66056703	66058369	66057424	N	NA	LOC493754,KCTD7	KCTD7	IMR90,MCF7	Hi-C,ChIA-PET	24141950,22265404	LOC493754	13205
197	chr8	132320764	132324227	132321633	N	NA	NA	NA	NA	NA	NA	ADCY8	267929
198	chr8	5026240	5029172	5027817	N	NA	NA	NA	NA	NA	NA	LOC100287015	1234897
199	chr8	72583107	72609822	72587350,72592347	N,N	NA;NA	NA	NA	NA	NA	NA	MSC	146909
200	chr8	7986045	7992002	7986852	N	NA	NA	NA	NA	NA	NA	FLJ10661	94090
201	chr9	118233210	118266980	118235506,118240750,118233677,118240921	N,N,N,N	NA;NA;NA;NA	NA	DEC1,TNC,TNFSF15	IMR90	Hi-C	24141950	TNC	352674
202	chr9	134247200	134249617	134248934	Y	AIF1L,POMT1,PRRC2B	NA	PRRC2B,NUP214,FAM78A	IMR90	Hi-C	24141950	PRRC2B	55860
203	chr9	2277009	2281848	2277159	N	NA	NA	NA	NA	NA	NA	VLDLR	339945
204	chr9	32343305	32346129	32345084	N	NA	ACO1	NA	NA	NA	NA	ACO1	38472
205	chr9	39550492	39552586	39552105	N	NA	NA	NA	NA	NA	NA	LOC653501	85966
206	chr9	76461120	76462514	76461354	Y	NA	NA	NA	NA	NA	NA	ANXA1	694339
207	chr9	76699372	76706347	76700685,76700528	Y,Y	NA;NA	NA	NA	NA	NA	NA	C9orf40	861455
208	chr9	78085619	78088000	78086712	N	NA	NA	NA	NA	NA	NA	C9orf95	382486
209	chr9	85493805	85527884	85498833,85503712	Y,N	NA;NA	NA	NA	NA	NA	NA	C9orf103	710149
210	chr9	90024683	90034062	90025521	N	NA	NA	NA	NA	NA	NA	DAPK1	78694
211	chr9	99975290	99984075	99983905,99976832	N,Y	NA;NA	BDAG1	NA	NA	NA	NA	BDAG1	16633
212	chrM	2724	16287	16055	N	NA	NA	NA	NA	NA	NA	NA	-1
213	chrX	115938043	115951241	115947272	N	NA	NA	NA	NA	NA	NA	PLS3	1142866
214	chrX	121354136	121387225	121355372	N	NA	NA	NA	NA	NA	NA	GLUD2	1172674
215	chrX	137344356	137351358	137345012	N	NA	NA	NA	NA	NA	NA	LOC158696	348441
216	chrX	150070479	150072850	150071752	Y	NA	CD99L2	NA	NA	NA	NA	CD99L2	3190
217	chrX	92077175	92087773	92079496	N	NA	NA	NA	NA	NA	NA	NAP1L3	840909
218	chrX	93956557	93962801	93959745,93959877	N,N	NA;NA	NA	NA	NA	NA	NA	NAP1L3	1027875
219	chrY	5807462	5817724	5809376	N	NA	NA	NA	NA	NA	NA	ZFY	3004350
