genes	chr	pos1	pos2	label	H1_rep1	H1_rep2	H1_rep3	H1_rep4	DEC_rep1	DEC_rep2	mean_H1	mean_DEC
CNNM2	chr10	103075000	103080000	5	196.50577981583444	201.58426730366295	202.31219923881122	210.06400307159356	202.8960808208925	194.1682091709137	202.61656235747554	198.5321449959031
COBL	chr7	51060000	51065000	5	989.1230527642673	1037.6854565228825	1064.5807449600893	996.017756060549	391.2995844402927	312.1366850916142	1021.8517525769471	351.71813476595344
COL23A1	chr5	178575000	178580000	5	220.24473308217685	209.70175457763597	238.58886944714976	198.6319484826633	2473.399842388023	3296.9084586258923	216.79182639740645	2885.1541505069576
COTL1	chr16	84610000	84615000	5	2497.8654159140297	2584.06678221474	2603.548715721529	2446.4596820310758	600.4757820484986	419.9451965789529	2532.9851489703437	510.2104893137257
COX6CP7	chr19	49500000	49505000	5	NA	NA	NA	NA	NA	NA	NA	NA
CPSF4L	chr17	73260000	73265000	5	0	0	0	0	0	0.5644424685200979	0	0.28222123426004897
CREBL2	chr12	12645000	12650000	5	482.69204974896246	464.04968916212346	495.3160739984688	501.5813950893152	689.8466747910345	752.9662530058107	485.9098019997175	721.4064638984225
CRISPLD2	chr16	84885000	84890000	5	92.31815159133161	112.29190728995991	92.08693206732096	87.16941624059325	89.37089274253599	70.55530856501224	95.96660179730144	79.96310065377412
CTIF	chr18	48600000	48605000	5	152.98436549420668	194.81969457535212	179.98809449521823	181.4838665992679	605.7897270223791	545.8158670589347	177.31900529101125	575.802797040657
CTNNA1	chr5	138920000	138925000	5	7405.2345883618145	7519.499044790327	7431.136366523507	7519.433905868879	6930.833503660345	6481.492866016285	7468.8259763861315	6706.163184838315
CUEDC1	chr17	57955000	57960000	5	114.738274120655	89.29236001370306	110.22526717149024	105.74650494760492	247.8230701455187	229.16364221915978	105.0006015633633	238.49335618233926
CXXC5	chr5	139645000	139650000	5	1283.2223071195094	1274.4455020137618	1247.3593525482568	1161.7825476000378	439.6081751119338	423.3318513900735	1241.7024273203915	431.47001325100365
CXXC5-AS1	chr5	139645000	139650000	5	NA	NA	NA	NA	NA	NA	NA	NA
DAB1	chr1	57965000	57970000	5	116.05710485767403	129.87979638356808	103.24898443911745	101.45948447675607	831.8739313656592	946.0055772396842	112.6613425392789	888.9397543026716
DCAF8	chr1	160235000	160240000	5	1405.8735656622785	1247.3872111005185	1356.1893631732723	1476.16404879562	1040.5670430671487	1056.6363010696234	1371.4035471829222	1048.601672068386
DCLK1	chr13	35945000	35950000	5	979.8912376051342	913.217318321963	909.7072683014131	1093.1902200664563	32.36675574999952	23.142141209324016	974.0015110737417	27.754448479661768
DCUN1D2	chr13	113460000	113465000	5	300.69340804033726	347.69903823517706	306.9564402244032	311.52348754834964	247.8230701455187	265.28796020444605	316.7180935120668	256.55551517498236
DDX6	chr11	118745000	118750000	5	2867.138022279356	2807.2976822489977	2883.995281562916	2958.044124885705	1339.1141334178906	1194.3602633885273	2879.1187777442437	1266.7371984032088
DGKD	chr2	233350000	233355000	5	336.3018379398509	355.81652550915004	372.53349790870755	398.6929037889429	731.8751486753623	590.9712645405426	365.8361912866628	661.4232066079525
DGKD	chr2	233445000	233450000	5	336.3018379398509	355.81652550915004	372.53349790870755	398.6929037889429	731.8751486753623	590.9712645405426	365.8361912866628	661.4232066079525
DGKI	chr7	137660000	137665000	5	5.275322948076092	8.117487273973005	1.39525654647456	7.145034118081414	7.246288600746161	7.337752090761273	5.483275221651268	7.292020345753717
DIP2B	chr12	50630000	50635000	5	952.1957921277346	960.569327420139	899.9404724760913	941.7154967631303	775.3528802798393	492.75827501804554	938.6052721967737	634.0555776489424
DLG2	chr11	84395000	84400000	5	77.81101348412236	75.76321455708138	110.22526717149024	90.0274298878258	85.98929139552111	97.08410458545686	88.45673127512995	91.53669799048899
DLGAP2	chr8	1070000	1075000	5	22.420122529323393	21.646632730594682	16.74307855769472	22.864109177860524	6.763202694029751	6.773309622241175	20.918485748868328	6.768256158135463
DLGAP2	chr8	745000	750000	5	22.420122529323393	21.646632730594682	16.74307855769472	22.864109177860524	6.763202694029751	6.773309622241175	20.918485748868328	6.768256158135463
DMC1	chr22	38560000	38565000	5	50.115568006722874	55.46949637214887	51.624492219558725	64.30530706273272	42.51155979104414	66.03976881685146	55.3787159152908	54.275664303947806
DNAH3	chr16	21080000	21085000	5	26.37661474038046	33.822863641554186	23.71936129006752	20.00609553062796	5.313944973880518	5.0799822166808815	25.98123380065753	5.1969635952807
DNAJB12	chr10	72330000	72335000	5	584.2420164994272	561.4595364497995	558.102618589824	581.6057772118271	542.0223873358128	645.157741518472	571.3524871877195	593.5900644271424
DNMBP	chr10	100000000	100005000	5	812.3997340037182	703.5155637443271	825.9918755129396	831.6819713446765	890.8104119850614	751.2729256002505	793.3972861514153	821.0416687926559
DPP8	chr15	65440000	65445000	5	283.54860845908996	275.9945673150822	306.9564402244032	288.6593783704891	425.11559791044147	295.20341103601123	288.7897485922661	360.1595044732263
DSE	chr6	116290000	116295000	5	1300.3671067007567	1386.7374093037217	1392.466033381611	1343.2664141993057	382.1209522126809	268.11017254704655	1355.7092408963488	325.1155623798637
DYM	chr18	49050000	49055000	5	551.2712480739516	645.3402382808539	601.3555715305354	654.4851252162575	563.2781672313349	527.7537080662916	613.1130457753995	545.5159376488132
E2F3	chr6	20475000	20480000	5	1139.469756784436	1094.5078674406936	1208.292169246969	1116.0543292443167	1338.631047511174	1422.395020670647	1139.5810306791038	1380.5130340909104
EDEM2	chr20	35140000	35145000	5	271.6791318259188	262.4654218584605	226.03156052887874	218.63804401329125	329.94767428730853	366.88760453806367	244.7035395566373	348.41763941268607
EGFEM1P	chr3	168505000	168510000	5	NA	NA	NA	NA	NA	NA	NA	NA
EHMT1	chr9	137710000	137715000	5	2538.7491687616193	2570.5376367581184	2699.821417428274	2447.888688854692	1913.9863624104194	1795.4914923624317	2564.249227950676	1854.7389273864255
EHMT1	chr9	137745000	137750000	5	2538.7491687616193	2570.5376367581184	2699.821417428274	2447.888688854692	1913.9863624104194	1795.4914923624317	2564.249227950676	1854.7389273864255
EIF3EP2	chr2	162090000	162095000	5	NA	NA	NA	NA	NA	NA	NA	NA
EIPR1	chr2	3190000	3195000	5	NA	NA	NA	NA	NA	NA	NA	NA
ELAVL2	chr9	23705000	23710000	5	338.93949941388894	344.9932091438527	346.0236235256909	378.6868082583149	54.105621552238006	38.94653032788676	352.1607850854368	46.526075940062384
ELK4	chr1	205595000	205600000	5	437.85180469031565	461.3438600707991	466.0156865225031	458.71119038082674	426.0817697238743	366.32316206954357	455.9806354161111	396.20246589670893
EMP2	chr16	10580000	10585000	5	452.3589427975249	492.460894621029	477.1777388942995	474.43026544060587	310.62423801865214	366.88760453806367	474.1069604383648	338.7559212783579
EPB41L4B	chr9	109250000	109255000	5	669.9660144056637	696.7509910160163	662.746859575416	700.2133435719785	73.42905782089443	92.56856483729607	682.4193021422686	82.99881132909525
EPPIN	chr20	45545000	45550000	5	NA	NA	NA	NA	NA	NA	NA	NA
EPPIN-WFDC6	chr20	45545000	45550000	5	NA	NA	NA	NA	NA	NA	NA	NA
EXOC4	chr7	133855000	133860000	5	1206.7301243724062	1375.9140929384243	1279.4502531171715	1240.3779228989333	1175.3480110410273	1116.4672027327538	1275.6180983317338	1145.9076068868906
EXOC4	chr7	134025000	134030000	5	1206.7301243724062	1375.9140929384243	1279.4502531171715	1240.3779228989333	1175.3480110410273	1116.4672027327538	1275.6180983317338	1145.9076068868906
EZR	chr6	158810000	158815000	5	6973.976937356594	6924.216644698973	7099.065308462562	6854.945732887308	5125.058384354402	5904.632663188745	6963.051155851359	5514.845523771573
FAM160A1	chr4	151605000	151610000	5	418.0693436350303	419.40350915527193	385.09080682697856	397.2638969653266	118.83913305223705	117.40403345218037	404.95688914565187	118.12158325220871
FAM53B	chr10	124695000	124700000	5	437.85180469031565	423.4622527922584	396.25285919877507	374.39978778746604	602.8912115820806	638.3844318962308	407.9916761172038	620.6378217391557
FAT1	chr4	186645000	186650000	5	3299.7145040215955	3194.2312423083777	3283.03865385464	3361.024049145497	1905.7739019962403	869.805843989471	3284.5021123325278	1387.7898729928556
FBF1	chr17	75905000	75910000	5	138.4772273869974	144.76185638585193	113.01578026443937	107.1755117712212	180.67412911193762	229.16364221915978	125.85759395212747	204.91888566554871
FERMT2	chr14	52940000	52945000	5	2143.0999476559123	2083.488400319738	2035.6793013063832	2277.8368768443547	5153.077366943953	4836.143070280199	2135.026131531597	4994.610218612076
FGD4	chr12	32395000	32400000	5	622.4881078729788	565.518280086786	615.308136995281	630.1920092147807	425.11559791044147	378.74089637698575	608.3766335424566	401.92824714371363
FGD5	chr3	14835000	14840000	5	516.981648911457	511.4016982602993	544.1500531250784	493.00735414761755	154.58749014925144	80.1508305298539	516.3851886111131	117.36916033955268
FHDC1	chr4	152945000	152950000	5	1217.2807702685582	1344.7970583881945	1268.288200745375	1341.8374073756895	528.0128960410369	585.8912823238617	1293.0508591944542	556.9520891824493
FLNB	chr3	58065000	58070000	5	3224.5411520115113	3218.5837041302966	3058.402349872236	3150.9600460739034	20022.461575675075	17904.679543926028	3163.121813021987	18963.57055980055
FLT1	chr13	28325000	28330000	5	1772.508510553567	1850.7870984658452	1831.9718455210973	1850.5638365830862	2245.8663803245936	316.0877823712549	1826.4578227808988	1280.9770813479242
FNIP2	chr4	158865000	158870000	5	238.70836340044318	225.936729125582	219.05527779650592	300.09143295941936	161.3506928432812	65.47532634833136	245.94795082048762	113.41300959580627
FREM1	chr9	14765000	14770000	5	61.985044639894085	79.82195819406789	54.415005312507844	72.87934800443041	1507.7111148619178	2649.4929472333397	67.27533903772506	2078.6020310476288
FRMD4A	chr10	14195000	14200000	5	509.0686644893429	500.578381895002	517.6401787420618	467.28523132252445	425.11559791044147	372.53202922326466	498.6431141122328	398.82381356685306
FRMD4A	chr10	13825000	13830000	5	509.0686644893429	500.578381895002	517.6401787420618	467.28523132252445	425.11559791044147	372.53202922326466	498.6431141122328	398.82381356685306
FRMD4B	chr3	69320000	69325000	5	35.608429899513624	47.35200909817586	39.067183301287685	55.73126612103503	194.68362040671354	125.87067047998185	44.43972210500305	160.2771454433477
FSTL1	chr3	120450000	120455000	5	6335.662860639387	6380.344997342782	6444.689988165993	6546.280258986191	7958.840313152867	6298.613506215774	6426.744526283588	7128.72690968432
FTCD	chr21	46140000	46145000	5	6.594153685095115	9.470401819635173	6.9762827323728	12.861061412546544	8.212460414178983	7.337752090761273	8.975474912412409	7.7751062524701275
FUT1	chr19	48745000	48750000	5	354.7654682581172	344.9932091438527	407.4149115705715	381.5448219055475	71.49671419402878	99.90631692805734	372.1796027195222	85.70151556104307
FXYD1	chr19	35135000	35140000	5	17.144799581247298	27.05829091324335	22.32410474359296	12.861061412546544	0	0	19.84706416265754	0
FYN	chr6	111765000	111770000	5	1027.369144137819	1002.5096783356662	1029.6993312982254	1018.8818652384095	928.4911127089415	816.1838094800617	1019.61500475253	872.3374610945016
FYN	chr6	111720000	111725000	5	1027.369144137819	1002.5096783356662	1029.6993312982254	1018.8818652384095	928.4911127089415	816.1838094800617	1019.61500475253	872.3374610945016
FYN	chr6	111860000	111865000	5	1027.369144137819	1002.5096783356662	1029.6993312982254	1018.8818652384095	928.4911127089415	816.1838094800617	1019.61500475253	872.3374610945016
GALNT7	chr4	173175000	173180000	5	1383.4534431329553	1359.6791183904784	1261.3119180130022	1471.8770283247711	906.752246906703	701.0375459019617	1369.0803769653016	803.8948964043324
GALNTL6	chr4	173015000	173020000	5	2.637661474038046	4.058743636986502	4.18576963942368	8.574040941697696	2.4154295335820537	2.8222123426004897	4.864053923036481	2.6188209380912717
GARNL3	chr9	127235000	127240000	5	26.37661474038046	21.646632730594682	36.27667020833856	40.01219106125592	13.04331948134309	11.288849370401959	31.078027185142403	12.166084425872524
GCNT1	chr9	76440000	76445000	5	118.69476633171207	110.93899274429774	83.71539278847361	112.89153906568633	3517.3484868021865	3559.938648956258	106.56017273254244	3538.6435678792222
GCNT2	chr6	10620000	10625000	5	1006.2678523455146	1086.3903801667204	1137.1340853767665	1094.6192268900725	812.0674091902864	874.3213837376318	1081.1028861947684	843.194396463959
GGPS1	chr1	235335000	235340000	5	402.243374790802	400.4627055160016	399.04337229172415	425.84403343765223	562.3119954179022	612.9845208128264	406.898371509045	587.6482581153643
GLI2	chr2	120875000	120880000	5	623.8069386099979	625.0465200959214	576.2409536939933	600.1828659188387	259.4171319067126	226.3414298765593	606.3193195796879	242.87928089163594
GLIS1	chr1	53630000	53635000	5	0	1.3529145456621676	0	1.4290068236162827	29.468240309701056	17.49771652412304	0.6954803423196125	23.482978416912047
GLYR1	chr16	4810000	4815000	5	2835.4860845908997	2796.4743658837	2754.2364227407816	2517.91002321189	2140.0705667536995	2038.7661962945938	2726.0267241068177	2089.4183815241468
GNA14	chr9	77520000	77525000	5	94.95581306536965	104.1744200159869	110.22526717149024	111.46253224207005	119.80530486566987	35.55987551676617	105.20450812372921	77.68259019121803
GNA14-AS1	chr9	77520000	77525000	5	NA	NA	NA	NA	NA	NA	NA	NA
GNAO1	chr16	56195000	56200000	5	429.93882026820154	428.8739109749071	452.0631210577575	427.27304026126853	126.0854216529832	145.06171440966517	434.5372231405337	135.57356803132419
GP2	chr16	20325000	20330000	5	23.738953266342413	9.470401819635173	13.9525654647456	17.148081883395392	24.15429533582054	33.86654811120588	16.077500608529643	29.01042172351321
GPAT4	chr8	41595000	41600000	5	NA	NA	NA	NA	NA	NA	NA	NA
GPR55	chr2	230910000	230915000	5	0	1.3529145456621676	0	0	30.434412123133878	39.51097279640686	0.3382286364155419	34.97269245977037
GRB2	chr17	75395000	75400000	5	2107.491517756399	1938.726543933886	2091.4895631653653	2012.041607651726	2199.9732191865346	2335.0984922676453	2037.437308126844	2267.53585572709
GRB2	chr17	75380000	75385000	5	2107.491517756399	1938.726543933886	2091.4895631653653	2012.041607651726	2199.9732191865346	2335.0984922676453	2037.437308126844	2267.53585572709
GRIK3	chr1	36865000	36870000	5	150.34670402016863	123.11522365525725	143.7114242868797	137.18465506716313	118.83913305223705	258.51465058220487	138.58950175736717	188.67689181722096
GSE1	chr16	85165000	85170000	5	NA	NA	NA	NA	NA	NA	NA	NA
GTF2IRD1P1	chr7	66835000	66840000	5	NA	NA	NA	NA	NA	NA	NA	NA
GVQW2	chr6	138760000	138765000	5	NA	NA	NA	NA	NA	NA	NA	NA
HAL	chr12	95975000	95980000	5	2.637661474038046	2.7058290913243352	1.39525654647456	0	0.9661718134328214	0.5644424685200979	1.6846867779592354	0.7653071409764597
HAS3	chr16	69105000	69110000	5	2417.416740955869	2393.305831276374	2472.3946003529204	2396.444443204506	141.06108476119195	94.26189224285636	2419.8904039474173	117.66148850202416
HDAC4	chr2	239235000	239240000	5	370.5914371023455	304.4057727739877	325.0947753285725	337.24561037344273	317.8705266193983	265.28796020444605	334.3343988945871	291.57924341192216
HDAC7	chr12	47780000	47785000	5	1809.4357711900996	1810.19966209598	1858.481719904114	1679.083017749132	3329.428069089503	4145.265488811599	1789.3000427348315	3737.346778950551
HDAC9	chr7	18500000	18505000	5	141.11488886103547	144.76185638585193	103.24898443911745	148.6167096560934	13.526405388059501	4.5155397481607835	134.43560983552456	9.020972568110142
HERC1	chr15	63770000	63775000	5	688.42964472393	694.0451619246919	646.0037810177213	748.7995755749321	777.2852239067049	515.3359737588495	694.3195408103188	646.3105988327773
HIPK2	chr7	139640000	139645000	5	786.0231192633378	803.6312401233275	738.0907130850422	740.2255346332345	4011.0622834663586	3113.4646563568604	766.9926517762356	3562.2634699116097
HK1	chr10	69315000	69320000	5	5947.926623955794	5946.059428185226	5878.215830297321	5961.816468127131	2557.4567901566784	2603.773107283212	5933.504587641368	2580.6149487199455
HLCS	chr21	36820000	36825000	5	300.69340804033726	339.5815509612041	313.932722956776	337.24561037344273	405.792161641785	365.1942771325034	322.86332308294004	385.4932193871442
HMCN2	chr9	130335000	130340000	5	NA	NA	NA	NA	NA	NA	NA	NA
HOOK2	chr19	12850000	12855000	5	685.7919832498919	650.7518964635026	721.3476345273475	591.608824977141	521.2496933470072	799.2505354244587	662.3750848044708	660.250114385733
HSPG2	chr1	21900000	21905000	5	1510.0611938867814	1512.5584620503032	1522.224892203745	1347.5534346701545	25938.81467523096	28502.651332859386	1473.099495702746	27220.73300404517
IDH1	chr2	208245000	208250000	5	6379.184274961014	6226.112739137295	6564.682051162805	6587.721456871063	10608.083425585664	11161.849814984937	6439.4251305330445	10884.9666202853
IGF1R	chr15	98655000	98660000	5	1748.7695572872246	1722.2602166279394	1753.837478918522	1720.5242156340043	2486.9262477760826	2560.8754796756843	1736.3478671169225	2523.9008637258835
IGF1R	chr15	98905000	98910000	5	1748.7695572872246	1722.2602166279394	1753.837478918522	1720.5242156340043	2486.9262477760826	2560.8754796756843	1736.3478671169225	2523.9008637258835
IL34	chr16	70650000	70655000	5	2107.491517756399	2045.6067930411973	2140.323542291975	2140.6522217771917	1554.0873619066933	1946.1976314572978	2108.518518716691	1750.1424966819955
IQCD	chr12	113195000	113200000	5	3.956492211057069	10.823316365297341	8.37153927884736	7.145034118081414	10.627889947761036	15.804389118562744	7.574095493320796	13.21613953316189
IQCE	chr7	2595000	2600000	5	133.20190443892133	150.1735145685006	186.96437722759106	132.8976345963143	358.9328286902932	403.01192252334994	150.80935770783182	380.9723756068216
IQCE	chr7	2575000	2580000	5	133.20190443892133	150.1735145685006	186.96437722759106	132.8976345963143	358.9328286902932	403.01192252334994	150.80935770783182	380.9723756068216
IQCK	chr16	19730000	19735000	5	83.08633643219845	112.29190728995991	85.11064933494816	90.0274298878258	168.11389553731095	168.7682980875093	92.62908073623308	168.44109681241014
IQCK	chr16	19760000	19765000	5	83.08633643219845	112.29190728995991	85.11064933494816	90.0274298878258	168.11389553731095	168.7682980875093	92.62908073623308	168.44109681241014
IQGAP1	chr15	90450000	90455000	5	3804.8266762998815	3857.1593696828395	3859.279607548633	4061.2373927174754	8769.94155052972	7671.337589656651	3895.625761562207	8220.639570093186
IQGAP2	chr5	76475000	76480000	5	1335.9755366002703	1331.267912931573	1385.4897506492382	1467.5900078539223	493.23071075745537	346.00323320282007	1380.0808020087509	419.6169719801377
IQSEC1	chr3	13200000	13205000	5	524.8946333335712	547.9303909931779	558.102618589824	491.57834732400124	576.321486712678	522.6737258496107	530.6264975601435	549.4976062811444
IRAK2	chr3	10165000	10170000	5	17.144799581247298	13.529145456621675	33.48615711538944	31.43815011955822	10.627889947761036	12.417734307442155	23.89956306820416	11.522812127601595
IRAK2	chr3	10225000	10230000	5	17.144799581247298	13.529145456621675	33.48615711538944	31.43815011955822	10.627889947761036	12.417734307442155	23.89956306820416	11.522812127601595
IRF2BP2	chr1	234600000	234605000	5	795.2549344224709	817.1603855799492	705.9998125161273	807.3888553431997	781.1499111604362	717.4063774890445	781.4509969654368	749.2781443247404
ISCA2P1	chr22	26645000	26650000	5	NA	NA	NA	NA	NA	NA	NA	NA
ITGA6	chr2	172460000	172465000	5	2946.2678665004973	3087.350993201066	3073.750171883456	3308.1507966716945	826.0769004850624	425.5896212641539	3103.8799570641786	625.8332608746082
ITGA6-AS1	chr2	172460000	172465000	5	NA	NA	NA	NA	NA	NA	NA	NA
ITGB4	chr17	75740000	75745000	5	39.56492211057069	33.822863641554186	34.881413661864	55.73126612103503	30.434412123133878	36.12431798528627	41.00011638375598	33.279365054210075
ITPKB	chr1	226705000	226710000	5	73.85452127306529	73.05738546575705	86.50590588142272	50.01523882656989	563.2781672313349	595.4868042887034	70.85826286170374	579.3824857600191
IZUMO1	chr19	48745000	48750000	5	3.956492211057069	9.470401819635173	6.9762827323728	4.287020470848848	0	3.3866548111205876	6.172549308478472	1.6933274055602938
JARID2	chr6	15270000	15275000	5	7558.2189538560215	7505.969899333705	7302.772764247848	7237.919561616472	2332.338757626831	2162.3790969004954	7401.220294763511	2247.358927263663
KAZN	chr1	14625000	14630000	5	116.05710485767403	135.29145456621674	107.43475407854112	135.75564824354686	203.37916672760892	208.84371335243625	123.6347404364947	206.1114400400226
KAZN	chr1	14715000	14720000	5	116.05710485767403	135.29145456621674	107.43475407854112	135.75564824354686	203.37916672760892	208.84371335243625	123.6347404364947	206.1114400400226
KCNK17	chr6	39295000	39300000	5	11.869476633171207	8.117487273973005	11.16205237179648	12.861061412546544	37.68070072388004	62.65311400573088	11.00251942287181	50.166907364805454
KCNMA1	chr10	77025000	77030000	5	68.57919832498919	83.88070183105438	73.94859696315169	68.59232753358157	22.221951708954894	10.724406901881862	73.7502061631942	16.473179305418377
KCNQ1	chr11	2580000	2585000	5	47.47790653268483	62.234069100459706	43.25295294071136	71.45034118081414	7.246288600746161	7.337752090761273	56.103817438667505	7.292020345753717
KCNQ1	chr11	2550000	2555000	5	47.47790653268483	62.234069100459706	43.25295294071136	71.45034118081414	7.246288600746161	7.337752090761273	56.103817438667505	7.292020345753717
KDM2B	chr12	121580000	121585000	5	2628.429658878913	2616.536731310632	2558.900506234343	2587.931357569088	1212.545625858191	1235.0001211219744	2597.949563498244	1223.7728734900827
KDM4A	chr1	43650000	43655000	5	2210.3603152438827	2180.898247607414	2351.007280809634	2190.6674606037614	1316.8921817089356	1283.5421734147028	2233.233326066173	1300.2171775618192
KIAA0355	chr19	34310000	34315000	5	519.619310385495	461.3438600707991	514.8496656491127	505.86841556016407	835.2555327126742	818.441579354142	500.42031291639273	826.8485560334082
KIAA0355	chr19	34270000	34275000	5	519.619310385495	461.3438600707991	514.8496656491127	505.86841556016407	835.2555327126742	818.441579354142	500.42031291639273	826.8485560334082
KIAA0355	chr19	34320000	34325000	5	519.619310385495	461.3438600707991	514.8496656491127	505.86841556016407	835.2555327126742	818.441579354142	500.42031291639273	826.8485560334082
KIAA1324	chr1	109200000	109205000	5	35.608429899513624	50.0578381895002	58.60077495193152	50.01523882656989	36.714528910447214	38.94653032788676	48.570570466878806	37.83052961916699
KIF26A	chr14	104155000	104160000	5	1171.1216944728924	1213.5643474589642	1132.9483157373427	1083.1871723011423	1303.8488622275927	1467.5504181522547	1150.2053824925854	1385.6996401899237
KIFC3	chr16	57790000	57795000	5	83.08633643219845	93.35110365068957	97.6679582532192	97.17246400590723	2282.580909235041	2807.5368384189674	92.81946558550361	2545.0588738270044
KIRREL1	chr1	158075000	158080000	5	NA	NA	NA	NA	NA	NA	NA	NA
KNDC1	chr10	133160000	133165000	5	251.8966707706334	258.406678221474	255.3319480048445	250.07619413284948	24.637381242536947	25.964353551924507	253.92787278245035	25.300867397230725
KREMEN1	chr22	29105000	29110000	5	126.60775075382621	89.29236001370306	108.83001062501569	120.03657318376774	324.1506434067116	260.20797798776516	111.19167364407818	292.1793106972384
KSR1	chr17	27570000	27575000	5	419.3881743720493	399.1097909703394	362.7667020833856	422.9860197904197	446.3713778059635	299.718950784172	401.0626718040485	373.04516429506776
KSR1	chr17	27460000	27465000	5	419.3881743720493	399.1097909703394	362.7667020833856	422.9860197904197	446.3713778059635	299.718950784172	401.0626718040485	373.04516429506776
KYAT1	chr9	128870000	128875000	5	NA	NA	NA	NA	NA	NA	NA	NA
LARGE1	chr22	33905000	33910000	5	NA	NA	NA	NA	NA	NA	NA	NA
LGI4	chr19	35135000	35140000	5	9.231815159133161	10.823316365297341	9.766795825321921	10.00304776531398	3.3816013470148754	0.5644424685200979	9.9562437787666	1.9730219077674866
LGR4	chr11	27375000	27380000	5	875.7036093806313	922.6877201415982	883.1973939183965	987.4437151188513	2104.8052955634016	1596.243300974837	917.2581096398693	1850.5242982691193
LHFPL6	chr13	39400000	39405000	5	NA	NA	NA	NA	NA	NA	NA	NA
LHPP	chr10	124535000	124540000	5	396.9680518427259	413.99185097262324	392.06708955935136	360.1097195513032	87.92163502238675	81.8441579354142	390.78417798150093	84.88289647890048
LINC00237	chr20	21095000	21100000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC00265	chr7	39745000	39750000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC00316	chr21	45335000	45340000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC00880	chr3	157085000	157090000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC00881	chr3	157085000	157090000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC00963	chr9	129505000	129510000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC01269	chr14	70705000	70710000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC01354	chr1	234530000	234535000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC01358	chr1	59145000	59150000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC01476	chr17	59435000	59440000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC01485	chr5	173805000	173810000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC01629	chr14	76960000	76965000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC01640	chr22	33115000	33120000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC01648	chr1	30015000	30020000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC01698	chr1	209365000	209370000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC02029	chr3	157085000	157090000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC02204	chr15	70585000	70590000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC02346	chr15	25925000	25930000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC02613	chr2	38460000	38465000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC02641	chr10	123520000	123525000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINC02643	chr10	21340000	21345000	5	NA	NA	NA	NA	NA	NA	NA	NA
LINGO1	chr15	77780000	77785000	5	1784.3779871867382	1862.9633293768047	1684.074651594794	1601.916649273853	39.12995844402927	31.608778237125488	1733.3331543580475	35.36936834057738
LRFN2	chr6	40465000	40470000	5	42.20258358460874	35.17577818721636	53.01974876603328	50.01523882656989	1.4492577201492323	3.3866548111205876	45.103337341107064	2.41795626563491
LRFN2	chr6	40535000	40540000	5	42.20258358460874	35.17577818721636	53.01974876603328	50.01523882656989	1.4492577201492323	3.3866548111205876	45.103337341107064	2.41795626563491
LRGUK	chr7	134140000	134145000	5	43.52141432162776	48.70492364383803	41.857696394236804	57.16027294465131	2.8985154402984645	10.159964433361763	47.811076826088474	6.5292399368301135
LRRFIP1	chr2	237730000	237735000	5	1182.9911711060636	1094.5078674406936	1197.1301168751725	1227.516861486387	1878.238005313405	1806.2158992643135	1175.5365042270791	1842.2269522888591
LRRFIP1	chr2	237725000	237730000	5	1182.9911711060636	1094.5078674406936	1197.1301168751725	1227.516861486387	1878.238005313405	1806.2158992643135	1175.5365042270791	1842.2269522888591
LRRFIP1	chr2	237675000	237680000	5	1182.9911711060636	1094.5078674406936	1197.1301168751725	1227.516861486387	1878.238005313405	1806.2158992643135	1175.5365042270791	1842.2269522888591
MACC1	chr7	20170000	20175000	5	292.7804236182231	250.289190947501	284.63233548081024	270.0822896634774	24.15429533582054	28.786565894524998	274.4460599275029	26.470430615172766
MAD1L1	chr7	1945000	1950000	5	456.31543500858197	439.69722734020445	443.6915817789101	457.2821835572105	681.6342143768555	784.5750312429362	449.24660692122677	733.1046228098959
MAD1L1	chr7	2205000	2210000	5	456.31543500858197	439.69722734020445	443.6915817789101	457.2821835572105	681.6342143768555	784.5750312429362	449.24660692122677	733.1046228098959
MAD1L1	chr7	2080000	2085000	5	456.31543500858197	439.69722734020445	443.6915817789101	457.2821835572105	681.6342143768555	784.5750312429362	449.24660692122677	733.1046228098959
MAGEF1	chr3	184710000	184715000	5	705.5744443051773	694.0451619246919	680.8851946795853	630.1920092147807	1146.845942544759	1438.7638522577297	677.6742025310588	1292.8048974012445
